NR;MIASTO;ULICA;X;Y;Z;PAR1;PAR2;PAR3;PAR4;PAR5;PAR6
1;GEEL;EIKENSTRAAT;192164,945;205734,804;22,426;11,5;-3,8;1,2;8;23,3;25
2;GEEL;EIKENSTRAAT;192179,668;205760,900;22,496;11,5;3,7;0,1;10;23,0;5
3;GEEL;EIKENSTRAAT;192194,329;205786,805;22,520;8,3;0,2;1,4;8;22,3;15
4;GEEL;EIKENSTRAAT;192207,492;205810,254;22,546;12,8;-2,7;3,7;9;33,8;20
5;GEEL;EIKENSTRAAT;192220,513;205833,520;22,588;11,4;1,0;0,1;9;32,0;15
6;GEEL;EIKENSTRAAT;192233,093;205855,611;22,607;9,3;-0,2;3,0;10;31,6;20
7;GEEL;EIKENSTRAAT;192249,243;205881,534;22,694;11,1;0,8;0,9;10;20,8;25
8;GEEL;EIKENSTRAAT;192269,563;205903,038;22,671;11,5;2,2;0,8;8;20,3;25
9;GEEL;EIKENSTRAAT;192290,376;205924,357;22,700;12,9;-0,4;3,1;9;31,6;25
10;GEEL;EIKENSTRAAT;192311,166;205945,843;22,738;9,3;-2,2;2,4;9;39,9;25
11;GEEL;EIKENSTRAAT;192331,928;205967,266;22,770;12,9;-0,6;2,8;7;31,3;5
12;GEEL;EIKENSTRAAT;192352,607;205988,625;22,831;10,4;-0,7;0,3;10;30,8;0
13;GEEL;EIKENSTRAAT;192374,361;206008,899;22,936;10,0;3,5;2,8;9;22,4;10
14;GEEL;EIKENSTRAAT;192398,646;206025,232;23,028;11,1;-3,7;0,8;5;28,5;15
15;GEEL;EIKENSTRAAT;192425,422;206037,751;23,046;8,5;0,1;3,9;7;37,8;0
16;GEEL;EIKENSTRAAT;192453,872;206045,998;23,038;12,8;-1,5;2,4;6;21,5;15
17;GEEL;ZAMMELSEWEG;190602,797;198877,029;17,740;12,3;3,1;2,1;8;35,0;15
18;GEEL;ZAMMELSEWEG;190593,048;198890,094;17,341;12,8;-0,4;1,5;9;25,8;0
19;GEEL;ZAMMELSEWEG;190635,502;198881,984;17,734;8,8;-0,5;2,6;10;20,7;10
20;GEEL;ZAMMELSEWEG;190612,534;198864,655;17,894;12,5;-3,3;3,1;6;39,9;15
21;GEEL;ZAMMELSEWEG;190585,800;198848,780;17,626;11,8;1,2;2,0;5;29,3;20
22;GEEL;ZAMMELSEWEG;190569,745;198845,604;17,526;8,7;2,0;0,5;7;20,6;25
23;GEEL;ZAMMELSEWEG;190558,436;198858,694;17,391;10,3;-1,9;2,9;6;20,9;20
24;GEEL;ENGELANDLAAN;196743,064;209208,061;26,202;9,7;-2,8;1,1;6;35,5;20
